section,english,shipped,final,source,confidence,future_review,flags
Cold,Your motivation froze on the way to the door.,Inkuthazo yakho iqandile endleleni eya emnyango.,Inkuthazo yakho iqandusele endleleni eya emnyango.,A,HIGH,False,
Cold,Outside is a test of character. You're failing.,Ngaphandle luvavanyo lwesimilo. Uyaphulukana.,Phandle luvavanyo lwesimilo — kwaye uyasilela.,A,HIGH,False,
Cold,Hot water bottle is the real MVP today.,Ibhotile yamanzi ashushu ngumqhubi wangempela namhlanje.,Ibhotile yamanzi ashushu yeyona MVP yokwenyani namhlanje.,A,HIGH,False,
Cold,Why did past-you make plans? Past-you is the worst.,Kutheni wena-wexesha-elidlulileyo wenze izicwangciso? Wena-wexesha-elidlulileyo mbi.,Kutheni wena wakudala wenza izicwangciso? Wena wakudala ngoyena mbi.,A,HIGH,False,
Cold,You miss your bed and you've been gone twelve minutes.,Ukhumbula ibhedi yakho kwaye sele iyimizuzu elishumi elinambini uhambile.,Sewukhumbula ibhedi yakho kodwa unemizuzu nje elishumi elinesibini uphumile.,B,LOW,True,"B unattested: ['sewukhumbula', 'unemizuzu', 'uphumile']; commentary-stripped"
Cold,The shower was the highlight. It is downhill from here.,Ishawa yayiyincopho. Konke kuya ezantsi ngoku.,iShower ibigqamile. Kuyehlela ukususela apha.,B,MED,True,"B typos: ['ishower', 'ibigqamile', 'kuyehlela', 'ukususela']"
Cold,Your toes have filed a formal complaint.,Iinzwane zakho zifake isikhalazo esisesikweni.,Iinzwane zakho zifake isikhalazo esisemthethweni.,A,HIGH,False,
Cold,Coffee count: rising. Motivation count: still zero.,Ukubalwa kwekofu: kunyuka. Ukubalwa kwenkuthazo: kuse zero.,Ukubalwa kwe kofu kuyenyuka. Inkuthazo iku zero.,B,LOW,True,B unattested: ['kofu']
Cold,Outside has betrayed you and you went anyway.,Ngaphandle kukukhaphele kwaye nokuba kunjalo uhambile.,Umphandle ukuphoxe wahamba.,B,LOW,True,"B unattested: ['umphandle', 'ukuphoxe', 'wahamba']; A-note cell-bleed: contains a stray sentence likely belonging to another row — excluded"
Very hot,"Jislaaik, it's properly hot!","Yhuu, kushushu ngempela!","Yhuu, kushushu nyhani!",B,HIGH,False,
Very hot,You could fry an egg on the N1.,Ungabhaka iqanda kwi-N1.,Ungabhaqa inqa kuN1,B,LOW,True,"B unattested: ['ungabhaqa', 'inqa']"
Very hot,Ice cream isn't a treat. It's survival.,I-ice cream ayisosipho. Kukuphila.,I-ice cream ayisosipho — kukusinda.,A,MED,False,
Very hot,The pool is not optional.,Ipuli ayinakukhethwa.,Ipuli ayisosigqibo — iyafuneka,A,HIGH,False,
Very hot,The AC is begging for mercy.,I-AC icela inceba.,I-aircon icela inceba.,A,HIGH,False,
Very hot,Your car seat is a weapon right now.,Isihlalo semoto sakho sisixhobo ngoku.,Isihlalo semoto yakho sisixhobo ngoku.,A,MED,False,
Very hot,Too hot to argue. Too hot to function.,Kushushu kakhulu ukuxoxa. Kushushu kakhulu ukusebenza.,Kushushu kakhulu ube uxoxa. Kushushu kakhulu for nukusebenza.,B,LOW,True,"possible typos (unattested): ['uxoxa', 'nukusebenza']"
Very hot,Even your phone's overheating.,Nefowuni yakho iyashushu.,Nditsho ne phone ishushu kakhulu.,B,MED,False,normalized 'kakhulku'->'kakhulu' (transposition; 'kakhulu' attested 50+ times)
Very hot,The tar is soft. The people are softer.,I-tar ithambile. Abantu bathambile.,iTar ithambile. Abantu bathambe ngaphezulu.,B,LOW,True,"possible typos (unattested): ['itar', 'bathambe']"
Very hot,Somewhere a chocolate bar just died.,Kwezinye iindawo ishokolethi isanda kufa.,Itshokolethi isandokufa kwenye indawo.,B,LOW,True,possible typos (unattested): ['isandokufa']
Very hot,Everyone with a pool just became very popular.,Bonke abanepuli basanda kuba bathandwa kakhulu.,Wonke umntu one pool ngusaziwayo ngoku bayathandwa.,B,MED,True,"B typos: ['ngusaziwayo', 'bayathandwa']"
Very hot,You're not sweating. You're 'glowing'. Sure.,Awubili. U-'glow'. Ewe.,Awubilanga uya glowa qha.,B,LOW,True,"possible typos (unattested): ['awubilanga', 'glowa']"
Very hot,Flip-flops on tar was a mistake.,Iislipas kwi-tar yayiyimpazamo.,iFlops etheni ibeyeyona mpazamo.,B,LOW,True,"possible typos (unattested): ['iflops', 'etheni', 'ibeyeyona', 'mpazamo']"
Very hot,Shorts weather? This is underwear weather.,Imozulu yamabhlukhwe amafutshane? Le yimozulu yamanqisi.,Ayomozulu yo shorty lena. Yimozulu yempahla yangapohantsi.,B,LOW,True,"B unattested: ['ayomozulu', 'shorty', 'lena', 'yangapohantsi']"
Very hot,The shade is working harder than you today.,Umthunzi usebenza ngamandla kunawe namhlanje.,Umthunzi usebenza nzima kunawe namhlanje.,A,HIGH,False,
Very hot,The office aircon debate just went to level 5.,Ingxoxo ye-aircon yaseofisini isanda kufikelela inqanaba 5.,Ingxoxo nge-aircon yaseofisini ifikelele kwinqanaba lesi-5 ngoku.,A,HIGH,False,
Very hot,Everyone's suddenly your friend when you have a pool.,Bonke bangabahlobo bakho xa unepuli.,Wonke umntu uba ngumhlobho wakho xa une pool.,B,LOW,True,possible typos (unattested): ['ngumhlobho']
Very hot,Your steering wheel is a hot plate.,Isitiyeli sakho sisitya esishushu.,Istiyeringi yemoto yakho ishushu okwepani.,A,HIGH,False,
Very hot,The fridge door is getting a workout today.,Ucango lwefriji lufumana ukuzilolonga namhlanje.,Ucango lwe fridge yakho luya gyma namhlanje.,B,MED,True,"B typos: ['fridge', 'luya', 'gyma']"
Very hot,Your makeup has an expiry date of 9am.,I-makeup yakho ixesha lokugqibela ngu-9 kusasa.,iMake up yakho iyaphelelwa ngo9,B,LOW,True,"possible typos (unattested): ['imake', 'iyaphelelwa']"
Very hot,The ice cream van is playing everyone's anthem.,Imoto ye-ice cream idlala ingoma yabo bonke abantu.,Imoto ye ice cream idlale umhobe womntu wonke.,B,LOW,True,"possible typos (unattested): ['idlale', 'umhobe', 'womntu']"
Very hot,Slowly becoming a puddle in the corner.,Kancinane ndijika ndiba lichibana ekoneni.,Kancinci kancinci ndinyibilika ndibe lichibi ekoneni.,A,HIGH,False,
Very hot,The aircon remote is now public property. Negotiate.,I-aircon remote ngoku yimpahla kawonke-wonke. Xoxa.,Iremote ye-aircon ngoku yeyomntu wonke. Thethani kakuhle.,A,HIGH,False,
Very hot,Even the shade is sweating.,Nawumthunzi uyabila.,Nditsho nomthunzi lo uyabila.,B,LOW,True,
Very hot,"The ceiling fan is doing its best, but its best is not enough.","Ifeni yophahla yenza okusemandleni ayo, kodwa okusemandleni ayo akwanelanga.","Ifeni yophahla yenza konke okusemandleni ayo, kodwa akwanele",A,HIGH,False,
Very hot,Your iced coffee melted before you reached the car.,Ikofu yakho yomkhenkce inyibilikile ngaphambi kokufika emotweni.,Ikhofi yakho elineqhwa incibilikile ngaphambi kokuba ufike emotweni,A,HIGH,False,
Very hot,The neighbours' pool has never looked so tempting.,Ipuli yommelwane ayikaze ibonakale ihehayo kangaka.,Ipuli yommelwane ayikaze ibonakale iheha kangaka,A,HIGH,False,
Very hot,Don't touch the seatbelt buckle. Trust us.,Ungaluchukumisi ucango lwebhande lokukhusela. Sithembe.,Ungaluchukumisi iqhosha lebhande lokhuseleko. Sithembe.,A,MED,False,commentary-stripped
Fog / low visibility,Can't see a thing. Not a thing.,Andiboni nto. Nto.,Andiboni nto. Nento encinci.,A,HIGH,False,
Fog / low visibility,Visibility: basically zero.,Ukubonakala: phantse iqanda.,Ukubonakala: phantse kungabikho.,A,HIGH,False,
Fog / low visibility,Perfect weather for a horror movie.,Imozulu elungele ifilimu yoyiko.,Yimozulu efanele ifilimu eyoyikisayo,A,HIGH,False,
Fog / low visibility,Ghost town. But it's just Tuesday.,Idolophu yesipoki. Kodwa ngolwesiBini nje.,Kufana nedolophu yeziporho. Kanti nguLwesibini nje,A,HIGH,False,
Fog / low visibility,"If you can read this, you're too close.","Ukuba ungafunda oku, ukufutshane kakhulu.","Ukuba uyakwazi ukufunda oku, ukufutshane kakhulu.",A,HIGH,False,
Fog / low visibility,The streetlights are trying their best.,Izibane zesitalato zizama ngako konke.,Izibane zesitalato zizama ngako konke ezinako.,A,HIGH,False,
Fog / low visibility,Somewhere out there is the road. We think.,Ndaweni ithile ngaphandle kukho indlela. Sicinga.,Ndaweni ithile phaya kukho indlela. Mhlawumbi,A,HIGH,False,
Fog / low visibility,The mountains are on holiday today.,Iintaba ziholide namhlanje.,Iintaba zithathe usuku lokuphumla namhlanje,A,HIGH,False,
Fog / low visibility,"Your high beams are making it worse, boet.","Ii-high beam zakho zenza kube kubi, boet.","Cima ii-high beam, boet. Azincedi nganto ngoku",A,HIGH,False,
Fog / low visibility,The neighbours exist. Apparently. Can't confirm.,Abamelwane bakho. Kubonakala kanjalo. Andinakuqinisekisa.,Abamelwane bakho bakhona. Kuthiwa kunjalo. Andinakuqinisekisa.,A,HIGH,False,
Fog / low visibility,The street signs gave up.,Izimpawu zendlela ziyekile.,Izimpawu zendlela zinikezele.,A,HIGH,False,
Fog / low visibility,The world ends two metres past the gate.,Ihlabathi liphela kwiimitha ezimbini ngaphesheya kwesango.,umhlaba uphela kwiimitha ezimbini ngaphesheya kwesango.,A,HIGH,False,
Clear&pleasant,Even the hadedas sound happy.,Iintaka zivakala zivuya.,lintaka zivakala zivuyile,A,HIGH,False,
Clear&pleasant,The kind of day that makes you forget load shedding.,Uhlobo lwemini olwenza ulibale i-load shedding.,Luhlobo lwemini olukwenza ulibale nge-load shedding.,A,HIGH,False,
Clear&pleasant,Somewhere an estate agent is saying 'lifestyle'.,Kwezinye iindawo umthengisi wendlu uthi 'lifestyle'.,Kwenye indawo umthengisi wezindlu uthi “lifestyle”.,A,HIGH,False,
Clear&pleasant,Save this one in the memory bank.,Gcina le mini kwinkumbulo.,Yigcine le mini kwibhanki yeenkumbulo,A,HIGH,False,
Clear&pleasant,The kind of day you text someone about.,Uhlobo lwemini othumela umntu umyalezo ngalo.,Luhlobo lwemini olwenza uthumele umntu umyalezo ngayo.,A,HIGH,False,
Clear&pleasant,Africa's sky just hits different.,Isibhakabhaka saseAfrika sihlukile nje.,Isibhakabhaka saseAfrika sahlukile nyhani.,A,HIGH,False,
Clear&pleasant,Take a moment. Look up. You're welcome.,Thatha umzuzu. Jonga phezulu. Wamkelekile.,Thatha umzuzwana. Jonga phezulu. Wamkelekile.,A,HIGH,False,
Clear&pleasant,The Helderberg is showing off today.,I-Helderberg iyaziqhayisa namhlanje.,IHelderberg iyazibonakalisa namhlanje.,A,HIGH,False,
Clear&pleasant,Days like this should come with a soundtrack.,Iimini ezinje kufanele zize ne-soundtrack.,Iimini ezinje kufanele zibe ne-soundtrack yazo.,A,HIGH,False,
Clear&pleasant,The fynbos is loving it. You should too.,Ifynbos iyakuthanda. Nawe kufanele.,IFynbos iyayonwabela le mozulu. Nawe kufanele.,A,HIGH,False,
Clear&pleasant,"Blue sky, warm breeze. The simple stuff.","Isibhakabhaka esiluhlaza, umoya ofudumeleyo. Izinto ezilula.","Isibhakabhaka esiluhlaza, impepho efudumeleyo. Izinto ezilula.",A,HIGH,False,
Clear&pleasant,Africa showing off again. Quietly devastating.,I-Afrika iyaziqhayisa kwakhona. Ngokuzolileyo ngokumangalisayo.,I-Afrika iyaziqhayisa kwakhona. Ngokuzolileyo ngokumangalisayo.,A,HIGH,False,
Clear night,Perfect night to actually see the Milky Way.,Ubusuku obulungileyo bokubona iNdlela yaseSisi.,Ubusuku obulungileyo bokubona iNdlela yeMilky Way.,A,HIGH,False,
Clear night,The moon's doing the most tonight.,Inyanga ibonakala ngokukhethekileyo ngokuhlwa.,Inyanga izenza eyona nkanyezi ephambili ngokuhlwa.,A,HIGH,False,
Clear night,Somewhere a cricket is really giving it.,Ndaweni ithile irhejane lizimisele ngokwenene.,Ndaweni ithile irhejane lisenza umboniso walo ngokupheleleyo.,A,HIGH,False,
Clear night,Even Table Mountain's called it a day.,Kwanentaba yeTafile iphumle ngoku.,kwa ne Table mountain igqibe ngalo mhla,A,HIGH,False,
Clear night,The frogs have entered the chat.,Amasele angene kwinkcazo.,Amasele angene kwincoko.,A,HIGH,False,
Weekend,"Braai weather, boet! No excuses.","Imozulu yokugrila, boet! Akukho zaba.",Imozulu yo ukosa inyama boet! Akukho zaba.ukosa inyama,A,HIGH,False,
Weekend,The weather gods are showing off.,Oothixo bemozulu bayaziqhayisa.,Oothixo bemozulu bayazibonakalisa kwakhona.,A,HIGH,False,
Weekend,Beach or braai? Yes.,Ibhitshi okanye ukugrila? Ewe.,Ibhitshi okanye,A,HIGH,False,
Weekend,"If you're working today, we feel sorry for you.","Ukuba usebenza namhlanje, siyakuzwela.",Ukuba usebenza namhlanje… siyakuqonda ukubandezeleka kwakho.,A,HIGH,False,
Weekend,Saturday energy: maximum. Responsibilities: minimum.,Amandla angoMgqibelo: aphezulu. Uxanduva: lusezantsi.,NgoMgqibelo amandla aphezulu. Uxanduva luphantsi.,A,HIGH,False,
Weekend,Marinade in. Phone off. Day starts now.,Faka i-marinade. Cima ifowuni. Imini iqala ngoku.,I-marinade ifakiwe. Ifowuni icinyiwe. Imini iqala ngoku.,A,HIGH,False,
Weekend,The chops are calling. So is the chair.,Iitshophu ziyabiza. Nesitulo nayo.,Iitshops ziyabiza. Nesitulo naso silindile.,A,HIGH,False,
Weekend,Boerie roll for breakfast? On a weekend? Acceptable.,Iboerie roll yebhrekfesi? Ngempelaveki? Iyamkeleka.,I-boerie roll yesidlo sakusasa? Ngempelaveki? Yamkelekile.,A,HIGH,False,
Weekend,The braai is the social calendar. Show up.,Ukugrila yikhalenda yentlalo. Bonakala.,ukosa inyama yikhalenda yentlalo. Yiza uzibonakalise.,A,HIGH,False,
Clear&pleasant — uncertain version,Looks clear-ish. The models and the sky don't always agree.,Kubonakala kuhle. Iimodeli nesibhakabhaka azivumelani rhoqo.,Kubonakala kucacile kancinci. Iimodeli nesibhakabhaka azisoloko zivumelana.,A,HIGH,False,
Clear&pleasant — uncertain version,"Clear, in theory. The Cape Doctor doesn't always RSVP.",Mhlawumbi yimini entle. Siqinisekile malunga ne-80%.,Kucacile ngokwethiyori. I-Cape Doctor ayisoloko ifika xa ilindelwe.,A,HIGH,False,
Clear&pleasant — uncertain version,Probably a good one. We're about 80% sure.,"Isibhakabhaka sicacile, itsho imathematika. Jonga nesibhakabhaka sokwenene.",Kubonakala kuyimini entle. Siqinisekile malunga ne-80%.,A,HIGH,False,
Clear&pleasant — uncertain version,"Clear skies, says the maths. Check the actual sky too.",Iimodeli zithi kuhle. Inyaniso inelungelo lokwahluka.,Iimodeli zithi isibhakabhaka sicacile. Kodwa jonga nesibhakabhaka sokwenene.,A,HIGH,False,
Clear&pleasant — uncertain version,Models say lovely. Reality reserves the right to differ.,Asiqinisekanga Mhlawumbi kuhle. ngokupheleleyo.,Iimodeli zithi kuhle. Inyaniso inelungelo lokwahluka,A,HIGH,False,
Overcast / cloudy — uncertain version,"Probably grey. Could lift, could thicken.","Mhlawumbi limpunga. Linganyuka, lingaba shinyene.","Mhlawumbi mpunga. Inokucaca, inokujiya.",A,HIGH,False,
Overcast / cloudy — uncertain version,Cloudy-ish. Don't bet the braai on it.,Linamafu-ish. Ungabhejeli ukugrila kuko.,Kunamafu kancinci. Ungabhejeli ukosa inyama kuko,A,MED,False,commentary-stripped
Overcast / cloudy — uncertain version,Cloud's the call. With an asterisk.,Amafu lulo uluvo. Kunophawu.,"Amafu sesona sigqibo, kodwa kunophawu.",A,HIGH,False,
Fog / low visibility — uncertain version,Fog might be rolling in. Keep an eye on the mountain.,Inkungu ingangena. Jonga intaba.,Inkungu isenokusondela. Gcina iliso entabeni.,A,HIGH,False,
Fog / low visibility — uncertain version,"Mist building, maybe. Headlights wouldn't hurt.","Inkungu iyakheka, mhlawumbi. Layita izibane.",Inkungu iyanda. Izibane zemoto aziyingozi,A,HIGH,False,
Fog / low visibility — uncertain version,Fog's on the cards. The sky's being coy about it.,Inkungu ikwithuba. Isibhakabhaka siyazenza.,Inkungu inokwenzeka. Isibhakabhaka asicaci.,A,HIGH,False,
Fog / low visibility — uncertain version,Watch for fog — it likes to arrive unannounced.,Lumkela inkungu — ithanda ukufika ingazange yazise.,Lumkela inkungu — ithanda ukufika ingalindelekanga.,A,HIGH,False,
Rain — uncertain version,"Wet conditions, probably. Don't quote us at the braai.","Iimeko ezimanzi, mhlawumbi. Ungasicaphuli ekugrileni.","Iimeko ezimanzi, mhlawumbi. Ungasicaphuli kwi braai.",A,HIGH,False,
Wind — uncertain version,Probably windy. The Cape Doctor keeps its own diary.,Mhlawumbi kunomoya. I-Cape Doctor inebhukana layo.,Mhlawumbi kunomoya. I-Cape Doctor inendlela yayo yokuziphatha.,A,HIGH,False,
Wind — uncertain version,Wind's likely. Hold onto the braai cover.,Umoya umhlawumbi ukho. Bambelela kwisigqubuthelo sokugrila.,Umoya unokwenzeka. Bambelela kwisigqubuthelo sokosa inyama,A,HIGH,False,
Wind — uncertain version,Could get gusty. The forecast's a bit loose on this one.,Kunokuba nomoya. Uqikelelo luxega kule nto.,Kunokuba nomoya onamandla ngamaxesha athile. Uqikelelo aluqinisekanga kule meko,A,HIGH,False,
Wind — uncertain version,Wind's on the cards. Peg the washing down.,Umoya ukwithuba. Bopha impahla yokuhlamba.,Umoya ulindelekile. Bopha impahla yokuhlamba ngeziqhoboshi.,A,HIGH,False,
Cold — uncertain version,Probably nippy. The Boland mornings do this.,Mhlawumbi kuyaqanda. I-Boland yenza oku kusasa.,kuyaqanda mhlawumbi Iintsasa zaseBoland zihlala zinje,A,HIGH,False,
Very hot — uncertain version,Looks warm. How warm is a moving target.,Kubonakala kufudumele. Ukuba kufudumele kangakanani kuyatshintsha.,Kubonakala kufudumele. Kodwa ubushushu buhlala butshintsha.,A,HIGH,False,
Very hot — uncertain version,"Hot-ish, likely. Keep the water close.",Kushushu mhlawumbi. Gcina amanzi ekufutshane.,"Kushushu kancinci, mhlawumbi. Gcina amanzi ekufutshane.",A,HIGH,False,
Very hot — uncertain version,Probably a scorcher. A hat's not a bad idea.,Mhlawumbi imini eshushu. Umnqwazi asiyongcinga embi.,Mhlawumbi kushushu kakhulu. Umnqwazi awuyongcamango embi,A,HIGH,False,
Storms / severe weather — uncertain version,Could turn stormy. Keep one eye on the sky.,Kunokuba sisaqhwithi. Jongaisibhakabhaka.,Kunokuthi kuze isaqhwithi. Jonga isibhakabhaka.,A,HIGH,False,
Storms / severe weather — uncertain version,Weather might get serious. Stay loosely on alert.,Imozulu ingaba nzima. Hlala ulindile.,Imozulu inganzima. Hlala ulumkile.,A,MED,False,commentary-stripped
Storms / severe weather — uncertain version,"Storm on the cards, not yet confirmed. Stay sharp.","Isaqhwithi sikwithuba, asikaqinisekiswa. Hlala uphaphile.","Sisenokwenzeka isaqhwithi, asikaqinisekiswa. Hlala uphaphile.",A,HIGH,False,
Storms / severe weather — uncertain version,Sky's looking moody. Could escalate.,Isibhakabhaka sibonakala sinomsindo. Kunganyuka.,Isibhakabhaka sibonakala sinomsindo. Kungaqatsela.,A,HIGH,False,
Clear night — uncertain version,Clear-ish night. Don't hold us to the stars.,Ubusuku obuhle-ish. Ungasibambi kwiinkwenkwezi.,Ubusuku obucacileyo kancinci. Musa ukusibamba ngeenkwenkwezi,A,HIGH,False,
Search screen,No saved places yet.,Akukho ndawo igciniweyo.,Akukho ndawo igciniweyo okwangoku.,A,HIGH,False,
Search screen,Clear recents,Susa okutsha,Susa okukhangelwe kutshanje,A,HIGH,False,
Search screen,Done,Kwenziwe,Kugqityiwe.,A,MED,False,commentary-stripped
Settings screen,"Probably Weather combines forecasts from Open-Meteo, WeatherAPI.com, MET Norway, Pirate Weather&Tomorrow.io to give you a more reliable prediction.","I-Probably Weather idibanisa izithembiso ezivela ku-Open-Meteo, WeatherAPI.com, MET Norway, Pirate Weather ne-Tomorrow.io ukukunika isithembiso esithembekileyo.","I-Probably Weather idibanisa uqikelelo lwemozulu oluvela ku-Open-Meteo, WeatherAPI.com, MET Norway, Pirate Weather ne-Tomorrow.io ukuze ikunike uqikelelo oluthembeke ngakumbi.",A,HIGH,False,
Buttons&the share message,Couldn't fetch weather right now.,Ayikwazanga ukufumana imozulu.,Ayikwazanga ukufumana ulwazi lwemozulu ngoku.,A,HIGH,False,
Pop-up messages,No saved places,Akukho ndawo,akukho ndawo zigciniweyo,A,HIGH,False,
Pop-up messages,Could not get location,Ayikwazanga ukufumana indawo,Ayikwazanga ukufumana indawo okuyo,A,HIGH,False,
Pop-up messages,Using saved location,Isebenzisa indawo egciniweyo,Kusetyenziswa indawo egciniweyo,A,MED,False,commentary-stripped
Pop-up messages,Weather lookup taking too long. Try again.,Ukubuka isimo sezulu kuthatha ixesha elide. Zama kwakhona.,Ukukhangela isimo sezulu kuthatha ixesha elide. Zama kwakhona,A,MED,False,commentary-stripped
Cape Town wind warning,Cape Doctor is doing rounds today,UGqirha waseKapa wenza iindwendwe namhlanje,UGqirha waseKapa uyajikeleza namhlanje,A,MED,False,commentary-stripped
Cape Town wind warning,"Hold onto your hat, the Southeaster means business","Bamba umnqwazi, iSoutheaster iyasebenza","Bamba umnqwazi wakho, umoya waseMzantsi-Mpuma uzimisele namhlanje",A,HIGH,False,
Cape Town wind warning,The Southeaster arrived uninvited — as always,Umoya waseMzantsi ufikile ungamenywanga — njengoko eqhelile,Umoya waseMzantsi-Mpuma ufike ungamenywanga njengesiqhelo,A,HIGH,False,
Cape Town wind warning,Wind's hectic — even the seagulls are walking,Umoya unamandla — neenkonjane ziyahamba,Umoya unamandla — neengabangaba zihamba ngeenyawo,A,MED,False,commentary-stripped
